c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
c,,,,,,c,c,c,,,,,,,,,,,,,c,c,c,,,,,,c
c,,,,,,c,c,c,,,,,,,,,,,,,c,c,c,,,,,,c
c,Pb,Er,,,,c,,Db,,,,,,,,,,,,,Dr,,c,,,,Eb,Pr,c
c,c,c,c,,,c,,Db,,,c,c,c,c,c,c,c,c,,,Dr,,c,,,c,c,c,c
c,,,,,,c,,Db,,,,,,c,c,,,,,,Dr,,c,,,,,,c
c,,,,,,c,c,c,,,,,,c,c,,,,,,c,c,c,,,,,,c
c,,,,c,c,c,,,,,,,,c,c,,,,,,,,c,c,c,,,,c
c,,,,,,c,,,,,,,,c,c,,,,,,,,c,,,,,,c
c,,,,,,c,,,,c,c,c,c,c,c,c,c,c,c,,,,c,,,,,,c
c,c,c,,,,c,,,,,,,,c,c,,,,,,,,c,,,,c,c,c
c,,,,,,c,,,,,,,,Lr,Lb,,,,,,,,c,,,,,,c
c,,,,,,c,,,c,c,Ob,Ob,c,c,c,c,Or,Or,c,c,,,c,,,,,,c
c,,,,c,c,c,,,,,,,,c,c,,,,,,,,c,c,c,,,,c
c,,,,,,c,,,,,,,,c,c,,,,,,,,c,,,,,,c
c,,,,,,c,c,c,c,,,,,c,c,,,,,c,c,c,c,,,,,,c
c,c,c,,,,,,,,,,,,c,c,,,,,,,,,,,,c,c,c
,,c,,,,,,,,,,c,c,c,c,c,c,,,,,,,,,,c,,
i,i,i,,,,,,,,,,,,,,,,,,,,,,,,,c,i,i
i,i,i,c,c,c,c,c,c,c,c,c,c,c,Ob,Or,c,c,c,c,c,c,c,c,c,c,c,c,i,i
