c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c
c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c
c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c
c,,,,,,,,,,,,,,,,,,,,,,,,,,Pr,Pb,,c
c,,,,,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,Or,Or,c,Ob,Ob,c,c,c,c,c
c,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,c
c,c,c,,,,,,,,,,,,c,,,,,,,,,,,,,,,c
c,,,,,,,,,,,,,,Dg,,,,,,,,,,,,,,,c
c,,,,,,,,Bg,,,,,,Dg,,,,,,Bg,,,,,,,,,c
c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,,c
c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c
c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c
c,Eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,c
c,c,c,c,c,Or,Or,c,c,c,c,c,,,,,,,,,,,,,,,,,,c
c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c
c,,,,,,,,,,,,,c,c,,,,,,,,,,,,,,,c
c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c
i,i,i,Er,,,,,,,,,,,,,,,,,,,,,,,,,i,i
i,i,i,c,c,c,c,c,Ob,Ob,c,c,c,c,c,c,c,c,c,c,Or,Or,c,c,c,c,c,c,i,i
