c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
c,,,,,,,,,,,,,,,,,,,,,,Dm,,,,,,,c
c,,,,,,,,,,,,,,,,,,,,,,Dm,,,,,,,c
c,,,,Lm,,,,,,,,,,,,,,,,,,Dm,,,,,,,c
c,,,c,c,c,,,,,,,,,,,,,,,c,c,c,c,,,,,,c
c,,,c,,,,,,,,,,,,,,,,,,,,c,,,,,,c
c,Dy,Dy,c,,,,,,,,,,,,,,,,,,,,c,Dm,Dm,,,,c
c,,,c,,,,,,,,,Er,,Eb,,,,,,,,,c,,,,,,c
c,,,c,,,,,,c,c,c,c,c,c,c,c,c,,,,,,c,,,,,,c
c,Dg,Dg,c,,,,,,,,,,,,,,,,,,,,c,,,,Dm,Dm,c
c,,,c,,,,,,,,,,,,,,,,,,,,c,,,,,,c
c,,,c,,,,,,,,,,,,,,,,,,,,c,,,,,,c
c,Dy,Dy,c,,,,,,,,,,,,,,,,,,,,c,Dm,Dm,,,,c
c,,,c,,,,,,,,,,,,,,,,,,,,c,,,,,,c
c,,,c,,,,,,,,,,,,,,,,,,,,c,,,,,,c
c,Dg,Dg,c,,,,,,,,,,,,,,,,,,,,c,,,,Dm,Dm,c
c,,,,,,,,,,,,,,,,,,,,,,,Dm,,,,,,c
c,,,,,,,,,,,,,,,,,,,,,,,Dm,,,,,,c
i,i,i,,,,,,,,,Lg,,Ly,,,Pr,Pb,,,,,,c,c,c,c,c,i,i
i,i,i,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,i,i
