c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
c,,,,,,,,,Db,,,,,,,,,,,,,Db,,,,,,,c
c,,,,,,,,,Db,,,,,,,,,,,,,Db,,,,,,,c
c,,,,,,,,,Db,,,,,,,,,,,,,Db,,,,,,,c
c,Pr,,,Lr,,,,,Db,,,,,,,,,,,,,Db,,,,,,,c
c,c,c,c,c,c,c,Ob,Ob,c,c,Db,Db,Db,Db,Db,Db,c,c,c,Ob,Ob,c,c,c,c,,,,c
c,c,c,c,c,c,c,c,c,c,c,Ob,Ob,Ob,Ob,Ob,Ob,c,c,c,c,c,c,c,c,c,,,,c
c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,,,,c
c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c
c,,,,,,,,,,,,,Er,,Eb,,,,,,,,,,,,,,c
c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,Dg,Dg,c,c,c,c,c,c,c,Dm,Dm,Dm,c
c,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,c
c,,,,,,,,,,,,,,,,,,,,,,,,Bm,c,,Lg,,c
c,,,,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
c,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,c
c,c,c,,,,,,,,,,,,,,,,,,,,c,,,,,,,c
c,,,,,,,,,,,,,,,,,,,,,,Dr,,,,,,,c
c,,,,,Bb,,,,,,,,,,,,,,,,,Dr,,,,,Pb,,c
i,i,i,c,c,c,c,c,c,Dr,Dr,Dr,Dr,Dr,Dr,Dr,Dr,Dr,Dr,Dr,c,c,c,c,c,c,c,c,i,i
i,i,i,c,c,c,c,c,c,Or,Or,Or,Or,Or,Or,Or,Or,Or,Or,Or,c,c,c,c,c,c,c,c,i,i
